Variable Name,Variable Description
OHX11PCL,Loss of Attachment: Upper left cuspid (C) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX11PCA,Loss of Attachment: Upper left cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX11LAD,Loss of Attachment: Upper left cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX11LAM,Loss of Attachment: Upper left cuspid (C) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX11LAS,Loss of Attachment: Upper left cuspid (C) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX11LAP,Loss of Attachment: Upper left cuspid (C) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX11LAL,Loss of Attachment: Upper left cuspid (C) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX11LAA,Loss of Attachment: Upper left cuspid (C) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX12CJD,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm)
OHX12CJM,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)
OHX12CJS,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)
OHX12CJP,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm)
OHX12CJL,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm)
OHX12CJA,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm)
OHX12PCD,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)
OHX12PCM,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX12PCS,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX12PCP,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX12PCL,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX12PCA,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX12LAD,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX12LAM,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX12LAS,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX12LAP,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX12LAL,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX12LAA,Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX13CJD,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX13CJM,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX13CJS,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX13CJP,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX13CJL,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)
OHX13CJA,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX13PCD,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX13PCM,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX13PCS,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX13PCP,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX13PCL,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX13PCA,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX13LAD,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX13LAM,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX13LAS,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX13LAP,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX13LAL,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX13LAA,Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX14CJD,Loss of Attachment: Upper left 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX14CJM,Loss of Attachment: Upper left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX14CJS,Loss of Attachment: Upper left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX14CJP,Loss of Attachment: Upper left 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX14CJL,Loss of Attachment: Upper left 1st molar (1M) mid- lingual - FGM to CEJ measurement (mm)
OHX14CJA,Loss of Attachment: Upper left 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX14PCD,Loss of Attachment: Upper left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX14PCM,Loss of Attachment: Upper left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX14PCS,Loss of Attachment: Upper left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX14PCP,Loss of Attachment: Upper left 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX14PCL,Loss of Attachment: Upper left 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX14PCA,Loss of Attachment: Upper left 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX14LAD,Loss of Attachment: Upper left 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX14LAM,Loss of Attachment: Upper left 1st molar (1M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX14LAS,Loss of Attachment: Upper left 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX14LAP,Loss of Attachment: Upper left 1st molar (1M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX14LAL,Loss of Attachment: Upper left 1st molar (1M) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX14LAA,Loss of Attachment: Upper left 1st molar (1M) mesio- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX15CJD,Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX15CJM,Loss of Attachment: Upper left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX15CJS,Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX15CJP,Loss of Attachment: Upper left 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX15CJL,Loss of Attachment: Upper left 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)
OHX15CJA,Loss of Attachment: Upper left 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX15PCD,Loss of Attachment: Upper left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX15PCM,Loss of Attachment: Upper left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX15PCS,Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX15PCP,Loss of Attachment: Upper left 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX15PCL,Loss of Attachment: Upper left 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX15PCA,Loss of Attachment: Upper left 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX15LAD,Loss of Attachment: Upper left 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX15LAM,Loss of Attachment: Upper left 2nd molar (2M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX15LAS,Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX15LAP,Loss of Attachment: Upper left 2nd molar (2M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX15LAL,Loss of Attachment: Upper left 2nd molar (2M) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX15LAA,Loss of Attachment: Upper left 2nd molar (2M) mesio- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX18CJD,Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to CEJ measurement (mm)
OHX18CJM,Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)
OHX18CJS,Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)
OHX18CJP,Loss of Attachment: Lower left 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)
OHX18CJL,Loss of Attachment: Lower left 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)
OHX18CJA,Loss of Attachment: Lower left 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)
OHX18PCD,Loss of Attachment: Lower left 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)
OHX18PCM,Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX18PCS,Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX18PCP,Loss of Attachment: Lower left 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX18PCL,Loss of Attachment: Lower left 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX18PCA,Loss of Attachment: Lower left 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX18LAD,Loss of Attachment: Lower left 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX18LAM,Loss of Attachment: Lower left 2nd molar (2M) mid-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX18LAS,Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX18LAP,Loss of Attachment: Lower left 2nd molar (2M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX18LAL,Loss of Attachment: Lower left 2nd molar (2M) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX18LAA,Loss of Attachment: Lower left 2nd molar (2M) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX19CJD,Loss of Attachment: Lower left 1st molar (1M) distal - FGM to CEJ measurement (mm)
OHX19CJM,Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)
OHX19CJS,Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)
OHX19CJP,Loss of Attachment: Lower left 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)
OHX19CJL,Loss of Attachment: Lower left 1st molar (1M) mid- lingual - FGM to CEJ measurement (mm)
OHX19CJA,Loss of Attachment: Lower left 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)
OHX19PCD,Loss of Attachment: Lower left 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)
OHX19PCM,Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX19PCS,Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX19PCP,Loss of Attachment: Lower left 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX19PCL,Loss of Attachment: Lower left 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX19PCA,Loss of Attachment: Lower left 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX19LAD,Loss of Attachment: Lower left 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX19LAM,Loss of Attachment: Lower left 1st molar (1M) mid-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX19LAS,Loss of Attachment: Lower left 1st molar (1M) mesio-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX19LAP,Loss of Attachment: Lower left 1st molar (1M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
OHX19LAL,Loss of Attachment: Lower left 1st molar (1M) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX19LAA,Loss of Attachment: Lower left 1st molar (1M) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)
OHX20CJD,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)
OHX20CJM,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)
OHX20CJS,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)
OHX20CJP,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)
OHX20CJL,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)
OHX20CJA,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)
OHX20PCD,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)
OHX20PCM,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)
OHX20PCS,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)
OHX20PCP,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)
OHX20PCL,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)
OHX20PCA,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)
OHX20LAD,Loss of Attachment: Lower left 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm)
